key,f_science,f_eng,f_math,f_total,m_science,m_eng,m_math,m_total,science,eng,math,total,fshare_science,fshare_eng,fshare_math,fshare_total,mshare_science,mshare_eng,mshare_math,mshare_total,fsect_science,fsect_eng,fsect_math,msect_science,msect_eng,msect_math
55 to 64,83005,33180,41865,158050,115035,260205,72770,448010,198040,293385,114635,606060,0.419132,0.113093716,0.3652026,0.260782761,0.580868,0.886906284,0.6347974,0.739217239,0.136958387,0.054747055,0.069077319,0.18980794,0.429338679,0.12007062
45 to 54,118015,73020,68365,259400,131120,340805,128935,600860,249135,413825,197300,860260,0.473699,0.176451399,0.346502788,0.301536745,0.526301,0.823548601,0.653497212,0.698463255,0.13718527,0.084881315,0.07947016,0.152419036,0.396165113,0.149879106
25 to 34,189625,78970,63225,331820,141825,295430,150305,587560,331450,374400,213530,919380,0.572107,0.210924145,0.296094226,0.36091714,0.427893,0.789075855,0.703905774,0.63908286,0.206253127,0.085894842,0.068769171,0.154261568,0.321336118,0.163485175
35 to 44,163900,78590,77670,320160,131025,296305,177700,605030,294925,374895,255370,925190,0.555735,0.20963203,0.304146924,0.346047839,0.444265,0.79036797,0.695853076,0.653952161,0.177152801,0.084944714,0.083950324,0.141619559,0.320263946,0.192068656
25 to 64,554530,263675,251160,1069365,519035,1192780,529710,2241525,1073565,1456455,780870,3310890,0.516531,0.181038892,0.321641246,0.322984152,0.483469,0.818961108,0.678358754,0.677015848,0.167486688,0.079638707,0.075858757,0.156766006,0.360259628,0.159990214
"All ages, 15-plus",700600,298565,283485,1282650,702330,1495820,603600,2801750,1402930,1794385,887085,4084400,0.499383,0.166388484,0.319569151,0.314036333,0.500617,0.833611516,0.680430849,0.685963667,0.171530702,0.073098864,0.069406767,0.171954265,0.366227598,0.147781804
